Approved Symbol	Approved Name	Aliases	Entrez Gene ID (mapped data supplied by NCBI)	Ensembl ID (mapped data supplied by Ensembl)
SLC9A9	solute carrier family 9 (sodium/hydrogen exchanger), member 9	FLJ35613	285195	ENSG00000181804
KNG1	kininogen 1		3827	ENSG00000113889
MGMT	O-6-methylguanine-DNA methyltransferase		4255	ENSG00000170430
HOXB8	homeobox B8		3218	ENSG00000120068
HELLS	helicase, lymphoid-specific	PASG, SMARCA6, LSH, Nbla10143	3070	ENSG00000119969
EFCAB1	EF-hand calcium binding domain 1	FLJ11767	79645	ENSG00000034239
RPL7P30	ribosomal protein L7 pseudogene 30		100270908	
UFSP2	UFM1-specific peptidase 2	FLJ11200	55325	ENSG00000109775
GTF2IP2	general transcription factor IIi, pseudogene 2		338448	ENSG00000226930
HMGB1P44	high mobility group box 1 pseudogene 44		100130279	ENSG00000248956
EDC3	enhancer of mRNA decapping 3 homolog (S. cerevisiae)	FLJ21128, hYjeF_N2-15q23, YJEFN2	80153	ENSG00000179151
TRNAN24	transfer RNA asparagine 24 (anticodon GUU)		100189271	
RASL11A	RAS-like, family 11, member A		387496	ENSG00000122035
MORF4L1P4	mortality factor 4 like 1 pseudogene 4		100420030	ENSG00000225133
RPS20P26	ribosomal protein S20 pseudogene 26		646660	
TTL	tubulin tyrosine ligase	MGC46235	150465	ENSG00000114999
KIAA2013	KIAA2013	MGC33867, RP5-1077B9.1	90231	ENSG00000116685
CYCSP34	cytochrome c, somatic pseudogene 34	HCP34	360182	ENSG00000176268
C11orf57	chromosome 11 open reading frame 57	FLJ10726	55216	ENSG00000150776
OR8U8	olfactory receptor, family 8, subfamily U, member 8		504189	
LINC00338	long intergenic non-protein coding RNA 338	PRO0872, FLJ25582, DKFZp686L05235	654434	ENSG00000234912
PISD	phosphatidylserine decarboxylase	dJ858B16.2, PSDC	23761	ENSG00000241878
C15orf55	chromosome 15 open reading frame 55	NUT, DKFZp434O192	256646	ENSG00000184507
RPS29P3	ribosomal protein S29 pseudogene 3	bcm2758	642892	
ROCK1	Rho-associated, coiled-coil containing protein kinase 1	p160ROCK	6093	ENSG00000067900
MTND6P3	MT-ND6 pseudogene 3			ENSG00000254132
ZDHHC20P4	zinc finger, DHHC-type containing 20 pseudogene 4		730239	ENSG00000232380
RPL23AP74	ribosomal protein L23a pseudogene 74		729617	
GSTA1	glutathione S-transferase alpha 1		2938	ENSG00000243955
PHIP	pleckstrin homology domain interacting protein	ndrp, FLJ20705, DCAF14	55023	ENSG00000146247
NRBP1	nuclear receptor binding protein 1	BCON3, MUDPNP, MADM	29959	ENSG00000115216
CXorf40A	chromosome X open reading frame 40A	EOLA1	91966	ENSG00000197620
MIR1229	microRNA 1229	hsa-mir-1229	100302156	ENSG00000221394
ZMYM1	zinc finger, MYM-type 1	FLJ23151, MYM	79830	ENSG00000197056
KRT73	keratin 73	KRT6IRS3, K6IRS3	319101	ENSG00000186049
NCAPH2	non-SMC condensin II complex, subunit H2	384D8-2, hCAP-H2, CAP-H2	29781	ENSG00000025770
KCNC3	potassium voltage-gated channel, Shaw-related subfamily, member 3	Kv3.3	3748	ENSG00000131398
TCEB1P19	transcription elongation factor B (SIII), polypeptide 1 pseudogene 19		100462880	ENSG00000241975
TPI1P3	triosephosphate isomerase 1 pseudogene 3		728402	ENSG00000186743
CHRFAM7A	CHRNA7 (cholinergic receptor, nicotinic, alpha 7, exons 5-10) and FAM7A (family with sequence similarity 7A, exons A-E) fusion	D-10, CHRNA7-DR1	89832	ENSG00000166664
ZNF217	zinc finger protein 217	ZABC1	7764	ENSG00000171940
TMEM54	transmembrane protein 54	CAC-1	113452	ENSG00000121900
NCBP2	nuclear cap binding protein subunit 2, 20kDa	NIP1, CBP20, Cbc2	22916	ENSG00000114503
RPL39P5	ribosomal protein L39 pseudogene 5		553117	ENSG00000214289
MTCYBP3	MT-CYB pseudogene 3			ENSG00000232373
GPX8	glutathione peroxidase 8 (putative)	UNQ847, EPLA847	493869	ENSG00000164294
TMEM183A	transmembrane protein 183A		92703	ENSG00000163444
TRNAR11	transfer RNA arginine 11 (anticodon ACG)		100189103	
NKX3-1	NK3 homeobox 1	NKX3.1, BAPX2	4824	ENSG00000167034
MRX20	mental retardation, X-linked 20		4384	
OR4F2P	olfactory receptor, family 4, subfamily F, member 2 pseudogene	OR4F2, hs6M1-11, S191N21	390028	
HMGN2P2	high mobility group nucleosomal binding domain 2 pseudogene 2		317726	
MAPRE3	microtubule-associated protein, RP/EB family, member 3	RP3, EB3	22924	ENSG00000084764
DUTP5	deoxyuridine triphosphatase pseudogene 5			ENSG00000216439
BBS4	Bardet-Biedl syndrome 4		585	ENSG00000140463
DNAJC8P1	DnaJ (Hsp40) homolog, subfamily C, member 8 pseudogene 1		319111	
C17orf99	chromosome 17 open reading frame 99	GLPG464, UNQ464	100141515	ENSG00000187997
PRSS12	protease, serine, 12 (neurotrypsin, motopsin)	BSSP-3, MRT1	8492	ENSG00000164099
GABRP	gamma-aminobutyric acid (GABA) A receptor, pi		2568	ENSG00000094755
AOC2	amine oxidase, copper containing 2 (retina-specific)	RAO, DAO2	314	ENSG00000131480
OR8H2	olfactory receptor, family 8, subfamily H, member 2		390151	ENSG00000181767
RPL36AP28	ribosomal protein L36a pseudogene 28		100271509	
MRGPRX2	MAS-related GPR, member X2	MRGX2	117194	ENSG00000183695
RPS3AP14	ribosomal protein S3a pseudogene 14		729150	
SNRPEP6	small nuclear ribonucleoprotein polypeptide E pseudogene 6			
ZNF286A	zinc finger protein 286A	KIAA1874	57335	ENSG00000187607
C16orf53	chromosome 16 open reading frame 53	MGC4606, GAS	79447	ENSG00000185928
PARP10	poly (ADP-ribose) polymerase family, member 10	FLJ14464	84875	ENSG00000178685
ZNF749	zinc finger protein 749	FLJ16360	388567	ENSG00000186230
MIR4262	microRNA 4262	hsa-mir-4262	100422996	
ZCCHC4	zinc finger, CCHC domain containing 4	HSPC052, FLJ23024	29063	ENSG00000168228
TRNAC3	transfer RNA cysteine 3 (anticodon GCA)		100189029	
MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	BAP1, MAGI-1, TNRC19, AIP3, WWP3	9223	ENSG00000151276
TRBJ1-5	T cell receptor beta joining 1-5	TRBJ15, TCRBJ1S5	28631	
C9orf3	chromosome 9 open reading frame 3	C90RF3, FLJ14675, APO, AOPEP, AP-O	84909	ENSG00000148120
MTND4LP1	MT-ND4L pseudogene 1	MTND4L2		ENSG00000231501
WDR61	WD repeat domain 61	REC14	80349	ENSG00000140395
KCNIP2	Kv channel interacting protein 2	KCHIP2	30819	ENSG00000120049
KRTAP5-5	keratin associated protein 5-5	KRTAP5.5, KRTAP5-11	439915	ENSG00000185940
XIC	X chromosome inactivation center		7502	
SNORD115-19	small nucleolar RNA, C/D box 115-19	HBII-52-19	100033458	ENSG00000199968
LINC00337	long intergenic non-protein coding RNA 337	MGC40168	148645	ENSG00000225077
MIR4509-2	microRNA 4509-2	hsa-mir-4509-2	100616228	
GMPSP1	guanine monphosphate synthetase pseudogene 1		728564	ENSG00000250471
TRAV12-1	T cell receptor alpha variable 12-1		28674	ENSG00000211785
KIAA0020	KIAA0020	XTP5, PEN, PUF6	9933	ENSG00000080608
KRTAP29-1	keratin associated protein 29-1	KAP29.2	100533177	ENSG00000212658
B3GNT6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 (core 3 synthase)	B3Gn-T6	192134	ENSG00000198488
MIR1183	microRNA 1183	hsa-mir-1183	100302122	ENSG00000221783
TNKS1BP1	tankyrase 1 binding protein 1, 182kDa	TAB182, KIAA1741, FLJ45975	85456	ENSG00000149115
PPM1H	protein phosphatase, Mg2+/Mn2+ dependent, 1H	KIAA1157, FLJ13253, NERPP-2C	57460	ENSG00000111110
LINC00334	long intergenic non-protein coding RNA 334		114042	ENSG00000182586
VN1R27P	vomeronasal 1 receptor 27 pseudogene		100312784	
MIR585	microRNA 585	hsa-mir-585	693170	ENSG00000207619
TRNAY5	transfer RNA tyrosine 5 (anticodon GUA)		100189057	
C18orf19	chromosome 18 open reading frame 19	MGC24180, HsT2329	125228	ENSG00000177150
SEPT7P5	septin 7 pseudogene 5		100418718	ENSG00000164740
KAZN	kazrin, periplakin interacting protein	KIAA1026, KAZRIN, FLJ43806	23254	ENSG00000189337
OR8J1	olfactory receptor, family 8, subfamily J, member 1		219477	ENSG00000172487
TUBA8	tubulin, alpha 8		51807	ENSG00000183785
FAM107A	family with sequence similarity 107, member A	DRR1, TU3A	11170	ENSG00000168309
WWTR1	WW domain containing transcription regulator 1	TAZ, DKFZp586I1419	25937	ENSG00000018408
SLC20A2	solute carrier family 20 (phosphate transporter), member 2	PiT-2, Glvr-2	6575	ENSG00000168575
SREK1IP1	SREK1-interacting protein 1	FLJ36754, P18SRP	285672	ENSG00000153006
FPR2	formyl peptide receptor 2	LXA4R, HM63, FPRH2, FMLPX, FPR2A, FMLP-R-II, ALXR	2358	ENSG00000171049
GRINA	glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)	HNRGW, TMBIM3, LFG1	2907	ENSG00000178719
PHGR1	proline/histidine/glycine-rich 1		644844	ENSG00000233041
DOM3Z	dom-3 homolog Z (C. elegans)		1797	
KIAA0748	KIAA0748		9840	ENSG00000135426
ADH5P4	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 4	bA707M13.2	642443	ENSG00000233859
MRPS5P4	mitochondrial ribosomal protein S5 pseudogene 4		359797	
GNG5P1	guanine nucleotide binding protein (G protein), gamma 5 pseudogene 1		2789	ENSG00000213536
TTLL6	tubulin tyrosine ligase-like family, member 6	FLJ35808	284076	ENSG00000170703
USP2	ubiquitin specific peptidase 2	UBP41	9099	ENSG00000036672
XCR1	chemokine (C motif) receptor 1		2829	ENSG00000173578
ACTN1	actinin, alpha 1		87	ENSG00000072110
RPS15AP5	ribosomal protein S15a pseudogene 5	Em:AC025947.3	414230	ENSG00000223540
ZNF75CP	zinc finger protein 75C, pseudogene		729944	
FOXRED1	FAD-dependent oxidoreductase domain containing 1	H17	55572	ENSG00000110074
USF2	upstream transcription factor 2, c-fos interacting	FIP, bHLHb12	7392	ENSG00000105698
CELF5	CUGBP, Elav-like family member 5		60680	ENSG00000161082
TRNAM2	transfer RNA methionine 2 (anticodon CAU)		7212	
TRIM39-RPP21	TRIM39-RPP21 readthrough		202658	ENSG00000248167
LINC00447	long intergenic non-protein coding RNA 447			
FAM114A2	family with sequence similarity 114, member A2	133K02	10827	ENSG00000055147
ALS2CR12	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 12		130540	ENSG00000155749
BLOC1S3	biogenesis of lysosomal organelles complex-1, subunit 3	BLOS3, HPS8	388552	ENSG00000189114
UBE2S	ubiquitin-conjugating enzyme E2S	E2-EPF	27338	ENSG00000108106
TMEM208	transmembrane protein 208	HSPC171	29100	ENSG00000168701
RSG1	REM2 and RAB-like small GTPase 1	MGC10731	79363	ENSG00000132881
C19orf33	chromosome 19 open reading frame 33	IMUP-1, IMUP-2, H2RSP, IMUP	64073	ENSG00000167644
CCNA1	cyclin A1		8900	ENSG00000133101
SUGT1P3	suppressor of G2 allele of SKP1 (S. cerevisiae) pseudogene 3		283507	ENSG00000239827
KIAA1210	KIAA1210		57481	ENSG00000248857
SMCR7L	Smith-Magenis syndrome chromosome region, candidate 7-like	FLJ20232, MiD51	54471	ENSG00000100335
SCOC	short coiled-coil protein	HRIHFB2072, SCOCO	60592	ENSG00000153130
SLC30A9	solute carrier family 30 (zinc transporter), member 9	HUEL, ZNT9, GAC63	10463	ENSG00000014824
RPL7P51	ribosomal protein L7 pseudogene 51		100271226	
FBXO39	F-box protein 39	MGC35179, Fbx39	162517	ENSG00000177294
ERVK3-7	endogenous retrovirus group K3, member 7	HML6-c19B	100616199	
PATZ1	POZ (BTB) and AT hook containing zinc finger 1	MAZR, dJ400N23, ZBTB19, ZSG, RIAZ, PATZ	23598	ENSG00000100105
AGER	advanced glycosylation end product-specific receptor	RAGE	177	
NME1P1	non-metastatic cells 1, protein (NM23A) expressed in, pseudogene 1			ENSG00000237175
SLC38A11	solute carrier family 38, member 11	FLJ39822, AVT2	151258	ENSG00000169507
PCNPP3	PEST containing nuclear protein pseudogene 3		729298	ENSG00000213344
NUSAP1	nucleolar and spindle associated protein 1	FLJ13421, LNP, ANKT, NuSAP1, SAPL, BM037, PRO0310p1, Q0310	51203	ENSG00000137804
C9orf80	chromosome 9 open reading frame 80	HSPC043	58493	ENSG00000148153
CENPP	centromere protein P	RP11-19J3.3, CENP-P	401541	ENSG00000188312
TCTN1	tectonic family member 1	FLJ21127, TECT1, JBTS13	79600	ENSG00000204852
EIF4A1P11	eukaryotic translation initiation factor 4A1 pseudogene 11		100130006	ENSG00000231564
ATP4A	ATPase, H+/K+ exchanging, alpha polypeptide	ATP6A	495	ENSG00000105675
STARP1	steroidogenic acute regulatory protein pseudogene 1	STARD1P1	6771	ENSG00000214266
ZNHIT2	zinc finger, HIT-type containing 2	FON	741	ENSG00000174276
ERVK-18	endogenous retrovirus group K, member 18	c1_C, HERV-K18	100775105	
FGF23	fibroblast growth factor 23		8074	ENSG00000118972
TRDD3	T cell receptor delta diversity 3		28523	ENSG00000228985
ZNF696	zinc finger protein 696	FLJ14129	79943	ENSG00000185730
NANOGP10	Nanog homeobox pseudogene 10		349372	
CYBB	cytochrome b-245, beta polypeptide	GP91-PHOX, NOX2	1536	ENSG00000165168
C16orf95	chromosome 16 open reading frame 95		100506581	ENSG00000131152
RPL31P40	ribosomal protein L31 pseudogene 40		100271196	ENSG00000253964
POLR1B	polymerase (RNA) I polypeptide B, 128kDa	Rpo1-2, FLJ21921, FLJ10816, RPA2	84172	ENSG00000125630
C3orf80	chromosome 3 open reading frame 80		401097	
MPHOSPH10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	MPP10, MPP10P, CT90	10199	ENSG00000124383
PBLD	phenazine biosynthesis-like protein domain containing	MAWBP, MAWDBP, FLJ14767	64081	ENSG00000108187
HIST1H4A	histone cluster 1, H4a		8359	ENSG00000196176
HIST1H1C	histone cluster 1, H1c	H1.2	3006	ENSG00000187837
TUBA3C	tubulin, alpha 3c	bA408E5.3	7278	ENSG00000198033
VN1R91P	vomeronasal 1 receptor 91 pseudogene		100312836	
GLYATL1P1	glycine-N-acyltransferase-like 1 pseudogene 1		100129032	
CA5B	carbonic anhydrase VB, mitochondrial		11238	ENSG00000169239
BIN3	bridging integrator 3		55909	ENSG00000147439
KIAA0895	KIAA0895		23366	ENSG00000164542
FOSB	FBJ murine osteosarcoma viral oncogene homolog B	G0S3, GOSB, GOS3, AP-1, MGC42291, DKFZp686C0818	2354	ENSG00000125740
FAM172BP	family with sequence similarity 172, member B, pseudogene	LOC131909, FLJ45679	131909	ENSG00000175841
INHBE	inhibin, beta E	activin, MGC4638	83729	ENSG00000139269
CSF3	colony stimulating factor 3 (granulocyte)	MGC45931	1440	ENSG00000108342
RNU5B-4P	RNA, U5B small nuclear 4, pseudogene		100147752	ENSG00000200378
PAN3	PAN3 poly(A) specific ribonuclease subunit homolog (S. cerevisiae)		255967	ENSG00000152520
TMIGD2	transmembrane and immunoglobulin domain containing 2	MGC23244	126259	ENSG00000167664
TMEM135	transmembrane protein 135	FLJ22104	65084	ENSG00000166575
IGLV3-13	immunoglobulin lambda variable 3-13 (pseudogene)		28801	ENSG00000253590
SNORA20	small nucleolar RNA, H/ACA box 20	ACA20	677806	ENSG00000207392
DUOX2	dual oxidase 2	P138-TOX, P138(TOX), THOX2, LNOX2	50506	ENSG00000140279
PAMR1	peptidase domain containing associated with muscle regeneration 1	RAMP, DKFZP586H2123	25891	ENSG00000149090
ST13P4	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 4	FAM10A4P	145165	ENSG00000232150
GPC5-AS1	GPC5 antisense RNA 1 (non-protein coding)			ENSG00000235984
SLEB2	systemic lupus erythematosus susceptibility 2	hSLE1	56179	
APOLD1	apolipoprotein L domain containing 1	FLJ25138, DKFZP434F0318	81575	ENSG00000178878
CHST8	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	GALNAC-4-ST1	64377	ENSG00000124302
RPS3AP27	ribosomal protein S3a pseudogene 27		100271255	
ZNF385D-AS2	ZNF385D antisense RNA 2 (non-protein coding)			ENSG00000223351
STAT5A	signal transducer and activator of transcription 5A	MGF	6776	ENSG00000126561
KLF13	Kruppel-like factor 13	RFLAT-1, BTEB3, NSLP1, FKLF-2	51621	ENSG00000169926
TSPY6P	testis specific protein, Y-linked 6, pseudogene		653174	ENSG00000238074
NIPA2P2	non imprinted in Prader-Willi/Angelman syndrome 2 pseudogene 2		100130204	ENSG00000241022
ERP29	endoplasmic reticulum protein 29	ERp28, ERp31, ERp29, PDI-DB, PDIA9	10961	ENSG00000089248
SLC26A5	solute carrier family 26, member 5 (prestin)	DFNB61	375611	ENSG00000170615
C12orf39	chromosome 12 open reading frame 39	MGC10946	80763	ENSG00000134548
SOX13	SRY (sex determining region Y)-box 13	Sox-13, ICA12, MGC117216	9580	ENSG00000143842
ARSD-AS1	ARSD antisense RNA 1 (non-protein coding)		100506356	
GRXCR1	glutaredoxin, cysteine rich 1		389207	ENSG00000215203
FRA1J	fragile site, 5-azacytidine type, common, fra(1)(q12)		2369	
PRAC	prostate cancer susceptibility candidate		84366	ENSG00000159182
NOD1	nucleotide-binding oligomerization domain containing 1	NLRC1, CLR7.1	10392	ENSG00000106100
MIR376C	microRNA 376c	hsa-mir-368, hsa-mir-376c	442913	ENSG00000238682
FA2H	fatty acid 2-hydroxylase	FAAH, FLJ25287	79152	ENSG00000103089
RPL21P1	ribosomal protein L21 pseudogene 1		6145	
PHLDA2	pleckstrin homology-like domain, family A, member 2	IPL, BWR1C, HLDA2	7262	ENSG00000181649
MIR3646	microRNA 3646	hsa-mir-3646	100500813	
RN5S101	RNA, 5S ribosomal 101			
OR4C7P	olfactory receptor, family 4, subfamily C, member 7 pseudogene		79294	ENSG00000255312
DDX3YP3	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked pseudogene 3		650560	ENSG00000251571
C9orf92	chromosome 9 open reading frame 92	Em:AL513424.1	100129385	ENSG00000205549
SSX9	synovial sarcoma, X breakpoint 9		280660	ENSG00000204648
OR2G2	olfactory receptor, family 2, subfamily G, member 2		81470	ENSG00000177489
TRGV9	T cell receptor gamma variable 9	V2	6983	ENSG00000211695
CTSE	cathepsin E		1510	ENSG00000196188
GDAP1	ganglioside-induced differentiation-associated protein 1	CMT4	54332	ENSG00000104381
PLEKHA2	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2	TAPP2	59339	ENSG00000169499
DNAH17	dynein, axonemal, heavy chain 17	DNEL2, FLJ40457	8632	ENSG00000187775
DFNB31	deafness, autosomal recessive 31	CIP98, WHRN, USH2D	25861	ENSG00000095397
MAGEB17	melanoma antigen family B, 17		645864	ENSG00000182798
DDX4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	VASA	54514	ENSG00000152670
SETP20	SET pseudogene 20		389217	
OFD1P6Y	OFD1 pseudogene 6, Y-linked		386690	ENSG00000242153
SHROOM2	shroom family member 2		357	ENSG00000146950
HMG20A	high mobility group 20A	HMGX1, FLJ10739, HMGXB1	10363	ENSG00000140382
UBA6	ubiquitin-like modifier activating enzyme 6	FLJ10808	55236	ENSG00000033178
PEX5L	peroxisomal biogenesis factor 5-like	PEX5R, PXR2	51555	ENSG00000114757
GIMAP6	GTPase, IMAP family member 6	FLJ22690	474344	ENSG00000133561
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	LYS5, CGI-80, AASD-PPT	60496	ENSG00000149313
PAGE4	P antigen family, member 4 (prostate associated)	PAGE-4, CT16.7	9506	ENSG00000101951
PPCDC	phosphopantothenoylcysteine decarboxylase	MDS018, FLJ14585	60490	ENSG00000138621
HNRNPCL1	heterogeneous nuclear ribonucleoprotein C-like 1		343069	ENSG00000179172
SNORA42	small nucleolar RNA, H/ACA box 42	ACA42	677823	ENSG00000207475
PIRC80	piwi-interacting RNA cluster 80		100313819	
MBD3L1	methyl-CpG binding domain protein 3-like 1		85509	ENSG00000170948
CES5A	carboxylesterase 5A	FLJ31547, CES4C1, CES5, CAUXIN	221223	ENSG00000159398
MIR18B	microRNA 18b	hsa-mir-18b	574033	
MT1L	metallothionein 1L (gene/pseudogene)	MTF, MT1R	4500	
AUNX1	auditory neuropathy, X-linked recessive 1	DFNX5	751798	
SLC22A13	solute carrier family 22 (organic anion transporter), member 13	OCTL1, OCTL3, OAT10	9390	ENSG00000172940
C14orf2	chromosome 14 open reading frame 2	MP68	9556	ENSG00000156411
FKBP10	FK506 binding protein 10, 65 kDa	hFKBP65, FLJ22041, FKBP6, FLJ20683, FLJ23833	60681	ENSG00000141756
FAM175B	family with sequence similarity 175, member B	Em:AC068896.4, ABRO1	23172	ENSG00000165660
RNY1P1	RNA, Ro-associated Y1 pseudogene 1			ENSG00000201242
TUBB4B	tubulin, beta 4B class IVb	Beta2	10383	ENSG00000188229
KIF13B	kinesin family member 13B	GAKIN, KIAA0639	23303	ENSG00000197892
SPTB	spectrin, beta, erythrocytic		6710	ENSG00000070182
ZNF609	zinc finger protein 609	KIAA0295	23060	ENSG00000180357
GSTA7P	glutathione S-transferase alpha 7, pseudogene		730152	ENSG00000237674
EPHX3	epoxide hydrolase 3	FLJ22408	79852	ENSG00000105131
DOLK	dolichol kinase	KIAA1094, DK1	22845	ENSG00000175283
MIR4484	microRNA 4484	hsa-mir-4484	100616327	
NANOGNBP2	NANOGNB pseudogene 2			ENSG00000256563
SERBP1P1	SERPINE1 mRNA binding protein 1 pseudogene 1		389866	
C20orf85	chromosome 20 open reading frame 85	bA196N14.1	128602	ENSG00000124237
RAX2	retina and anterior neural fold homeobox 2	MGC15631	84839	ENSG00000173976
KDM4D	lysine (K)-specific demethylase 4D	FLJ10251	55693	ENSG00000186280
OR8G1	olfactory receptor, family 8, subfamily G, member 1	TPCR25, HSTPCR25	26494	ENSG00000255298
SPNS3	spinster homolog 3 (Drosophila)	MGC29671	201305	ENSG00000182557
SMOC1	SPARC related modular calcium binding 1		64093	ENSG00000198732
MAN2A2	mannosidase, alpha, class 2A, member 2	MANA2X, HsT19662	4122	ENSG00000196547
CYP2C58P	cytochrome P450, family 2, subfamily C, polypeptide 58, pseudogene			ENSG00000235199
MIR3150A	microRNA 3150a	hsa-mir-3150, hsa-mir-3150a	100422964	
DNM1P28	DNM1 pseudogene 28	DNM1DN3-1, DNM1DN3-3	100132031	
RBBP4P3	retinoblastoma binding protein 4 pseudogene 3		730180	ENSG00000215307
IZUMO2	IZUMO family member 2	MGC33947, SCRL	126123	ENSG00000161652
FGFBP2	fibroblast growth factor binding protein 2	KSP37	83888	ENSG00000137441
FARSB	phenylalanyl-tRNA synthetase, beta subunit	PheHB, FRSB	10056	ENSG00000116120
KRTAP12-2	keratin associated protein 12-2	KRTAP12.2, KAP12.2	353323	ENSG00000221864
ANKIB1	ankyrin repeat and IBR domain containing 1	DKFZP434A0225, KIAA1386	54467	ENSG00000001629
LRRC47	leucine rich repeat containing 47	KIAA1185, RP1-286D6.3	57470	ENSG00000130764
KRTAP10-12	keratin associated protein 10-12	KRTAP18.12, KAP10.12	386685	ENSG00000189169
RPL7AP6	ribosomal protein L7a pseudogene 6		326310	ENSG00000242071
FTLP7	ferritin, light polypeptide pseudogene 7		441623	
SNRPFP1	small nuclear ribonucleoprotein polypeptide F pseudogene 1	dJ1041C10.2	170550	ENSG00000231878
PCDHGA8	protocadherin gamma subfamily A, 8	KIAA0327, PCDH-GAMMA-A8	9708	ENSG00000253767
TRNAM5	transfer RNA methionine 5 (anticodon CAU)		100189085	
OSTM1	osteopetrosis associated transmembrane protein 1	HSPC019, GL	28962	ENSG00000081087
MIR26A1	microRNA 26a-1	hsa-mir-26a-1	407015	ENSG00000199075
FAM165A	family with sequence similarity 165, member A	bA33E24.4	387100	ENSG00000198738
HCG9P3	HLA complex group 9 pseudogene 3	HCGIX-3.2	387507	
MTND1P36	MT-ND1 pseudogene 36		100506721	ENSG00000253245
RPL18P1	ribosomal protein L18 pseudogene 1		326291	
RAB6B	RAB6B, member RAS oncogene family		51560	ENSG00000154917
CLECL1	C-type lectin-like 1	DCAL1	160365	ENSG00000184293
SNX29P1	sorting nexin 29 pseudogene 1		100652781	ENSG00000158482
TNPO2	transportin 2	IPO3, KPNB2B, FLJ12155, TRN2	30000	ENSG00000105576
RCC2P3	regulator of chromosome condensation 2 pseudogene 3		100131932	ENSG00000233951
ANKRD33B	ankyrin repeat domain 33B		651746	ENSG00000164236
TET2-AS1	TET2 antisense RNA 1 (non-protein coding)			
FEB1	febrile convulsions 1		2233	
CYP2C63P	cytochrome P450, family 2, subfamily C, polypeptide 63, pseudogene	CYP2C-se3[1]		
COL18A1	collagen, type XVIII, alpha 1	KS, KNO1	80781	ENSG00000182871
ZNF251	zinc finger protein 251		90987	ENSG00000198169
CUL4B	cullin 4B		8450	ENSG00000158290
C9orf21	chromosome 9 open reading frame 21		195827	ENSG00000158122
CA13	carbonic anhydrase XIII	CAXIII, FLJ37995, MGC59868	377677	ENSG00000185015
UNC93B4	unc-93 homolog B4 pseudogene (C. elegans)		643384	
PLEKHG4	pleckstrin homology domain containing, family G (with RhoGef domain) member 4	DKFZP434I216, ARHGEF44	25894	ENSG00000196155
AREGB	amphiregulin B		727738	ENSG00000205595
KIR3DS1	killer cell immunoglobulin-like receptor, three domains, short cytoplasmic tail, 1	nkat10	3813	ENSG00000215764
RPL35AP33	ribosomal protein L35a pseudogene 33		100271634	
IGHV3-79	immunoglobulin heavy variable 3-79 (pseudogene)		28405	ENSG00000254284
PLCE1	phospholipase C, epsilon 1	KIAA1516, PLCE, NPHS3	51196	ENSG00000138193
NXNL1	nucleoredoxin-like 1	RDCVF	115861	ENSG00000171773
KRT16	keratin 16	NEPPK	3868	ENSG00000186832
VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1	VCIP135, KIAA1850, FLJ23132, DUBA3	80124	ENSG00000175073
HES3	hairy and enhancer of split 3 (Drosophila)	bHLHb43	390992	ENSG00000173673
TTC30B	tetratricopeptide repeat domain 30B	FLJ30990, fleer, IFT70	150737	ENSG00000196659
VBP1	von Hippel-Lindau binding protein 1	PFD3, PFDN3	7411	ENSG00000155959
PIRC32	piwi-interacting RNA cluster 32		100313811	
PIBF1	progesterone immunomodulatory binding factor 1		10464	ENSG00000083535
TRNAT1	transfer RNA threonine 1 (anticodon UGU)		7236	
TRAJ33	T cell receptor alpha joining 33		28722	ENSG00000211856
MIR1-1	microRNA 1-1	hsa-mir-1-1	406904	ENSG00000199017
GEMIN8P4	gem (nuclear organelle) associated protein 8 pseudogene 4		492303	ENSG00000228175
NUDT16L1	nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1	SDOS	84309	ENSG00000168101
GIMAP1	GTPase, IMAP family member 1	HIMAP1, IMAP38, IMAP1	170575	ENSG00000213203
RPS6	ribosomal protein S6	S6	6194	ENSG00000137154
ERVH-5	endogenous retrovirus group H, member 5			
OR2L2	olfactory receptor, family 2, subfamily L, member 2	HTPCRH07, HSHTPCRH07	26246	ENSG00000203663
OR7E115P	olfactory receptor, family 7, subfamily E, member 115 pseudogene	OST704	81353	
RPL32P15	ribosomal protein L32 pseudogene 15		100132265	
SNRPGP12	small nuclear ribonucleoprotein polypeptide G pseudogene 12			ENSG00000226734
PEX7	peroxisomal biogenesis factor 7	PTS2R, RD	5191	ENSG00000112357
SORT1	sortilin 1	Gp95, NT3	6272	ENSG00000134243
